,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
200409,   4.6765,   4.6914,   4.7372,   4.6706,   3.7841,   8.0004,   6.2617,   5.4509,   3.8683,   3.4475,   4.0981,   4.0745,   3.5092,   2.7970,   4.8246,   2.9179,   3.0574,   4.8935,   2.6593,   2.6835,  -0.0714,   1.0827,   2.4702,   1.6226,   3.5615
200410,   1.7834,   2.4860,   2.5515,   1.1853,   0.1648,   3.4136,   3.0628,   1.1194,   0.7227,   2.7777,   1.6837,   3.9013,   2.3355,  -0.4071,   2.2640,   3.3914,   3.1027,   2.1582,   0.9853,  -0.5636,   1.3348,   0.4090,   2.4158,   0.8989,   2.5412
200411,  10.8686,   8.5052,   8.4711,   7.8426,   8.7940,   7.3330,   9.4516,   9.3477,   9.2397,   9.2365,   6.8565,   5.8376,   7.7006,   6.0593,   9.4211,   5.5511,   7.2353,   6.8928,   6.4796,   7.5001,   2.4355,   3.9863,   5.1198,   3.4765,   5.7768
200412,   5.0642,   4.6113,   4.1847,   2.8081,   5.8404,   3.5990,   3.4500,   2.1813,   2.3866,   3.1057,   5.5453,   3.2573,   2.1300,   1.8260,   2.5757,   4.0967,   3.9135,   4.0774,   4.3343,   3.6705,   3.6246,   2.1971,   2.3360,   5.2585,   2.6039
200501,  -6.1363,  -4.5197,  -4.2750,  -3.2539,  -1.4360,  -5.5950,  -4.2445,  -2.2977,  -3.2578,  -2.9073,  -3.6099,  -3.9743,  -3.8294,  -0.4182,  -2.9107,  -2.7527,  -3.7268,  -2.6948,  -2.2695,  -2.5899,  -3.2035,  -2.0169,  -1.4525,  -2.0348,   0.3486
200502,  -1.2154,  -0.0850,  -0.3733,   0.7001,   2.9195,   2.3364,   1.8753,   3.4383,   3.6465,   2.1521,   0.8757,   2.3267,   2.7959,   1.3939,   4.0243,   2.2906,   2.4125,   3.1484,   3.1257,   3.1326,   0.7567,   4.1853,   2.3600,   0.3784,   4.8778
200503,  -6.2551,  -2.4812,  -3.4162,  -2.9267,  -2.6163,  -4.4316,  -2.3972,  -2.8267,  -0.6252,  -0.3825,  -1.7408,  -2.4656,  -2.6843,  -2.4812,  -1.0216,  -1.9310,  -0.8788,   0.1434,  -2.4307,  -0.9139,  -1.2519,  -4.0400,  -0.9844,  -0.2010,  -0.7085
200504,  -6.2900,  -6.4734,  -5.4625,  -6.5401,  -6.3687,  -7.6381,  -6.2829,  -6.4172,  -6.1625,  -4.8992,  -5.0979,  -4.5379,  -5.3969,  -4.3998,  -4.8909,  -3.9305,  -4.5488,  -4.5621,  -3.0709,  -2.2902,  -1.2501,  -2.0845,  -2.9814,  -1.2255,  -2.6467
200505,   6.8235,   6.4658,   4.8558,   4.1770,   4.8352,   9.3461,   8.2457,   7.3744,   5.4862,   6.9710,   6.1216,   6.1867,   5.3438,   4.0207,   7.0585,   5.9483,   6.0820,   4.9311,   5.6713,   5.5726,   3.7311,   1.8550,   1.7356,   2.1830,   4.0228
200506,   4.0323,   3.7055,   3.6398,   4.2295,   5.3770,   1.9304,   3.9477,   4.0621,   4.2061,   5.2720,   1.7960,   2.8815,   2.4329,   4.0775,   3.5988,   0.8735,   2.4215,   3.3721,   4.7055,   2.9932,  -1.7685,   0.9748,   2.0346,   1.1719,   3.1325
200507,   7.7226,   8.3502,   6.6256,   6.6795,   6.8548,   7.4281,   6.6792,   7.6516,   5.9102,   5.4885,   4.7183,   6.4639,   6.0502,   5.7520,   3.3959,   6.3055,   5.4580,   4.8722,   6.5442,   4.3839,   4.4615,   3.1190,   1.5317,   2.3082,   3.9505
