This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202203 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. 
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
193007,   2.6405,   1.3146,  12.9011,   2.6771,   1.2934,   7.7565,   6.0623,   4.2185,   2.4216,   0.8179,   6.0498,   5.5553,   1.7020,   4.1987,   2.8600,   4.4499,   4.2738,   3.6553,   1.5287,   1.8338,   4.9852,   3.7067,   3.1710,   1.8223,   7.3314
193008,  -9.3290,  -8.5398,  -3.2926,  -6.1640,  -3.6636,  -4.4676,   0.1254,  -1.0155,  -3.1903,  -0.9432,  -2.7311,  -1.8643,  -2.0854,  -1.2706,  -1.2090,   1.6990,  -0.6505,  -2.2569,  -2.9149,   3.1467,   0.9040,  -0.7224,  -0.1182,  -2.1284, -24.0437
193009, -30.8037, -33.7274, -29.9790, -19.5012, -19.6353, -15.2450, -15.2563, -14.8783, -16.0960, -19.7511, -13.7596, -15.4567, -12.7573, -16.1683, -21.7125, -13.4417, -15.5673, -13.3668, -13.6595, -18.2530, -12.9064, -12.3283,  -9.7687, -15.0553, -28.0576
193010, -31.8635, -10.3738,  -6.8098, -15.1500, -10.1433,  -6.2248, -11.7782, -11.2200, -10.1315,  -8.3386, -14.0466,  -9.1060,  -6.6548, -11.8335, -18.7547, -11.5053,  -9.8930,  -8.3015, -11.5947, -12.7708, -10.2837,  -7.0310,  -7.4070,  -8.9405, -20.0000
193011,  19.7776, -15.4883,  -4.4972,  -1.5443,  -3.7321,  -6.9593,   1.7020,  -3.8494,  -3.0114,  -4.3808,  -1.0554,  -1.1602,  -2.7643,   1.9886,  -6.5285,  -1.1099,   0.3294,  -2.8282,  -4.8756,  -2.5984,  -2.9657,  -1.7610,  -5.1316,  -7.7659, -12.5000
193012, -18.3651, -25.1568, -24.3865, -14.3946, -17.2775, -15.2662, -12.6394, -13.3714, -16.9290, -18.6827,  -6.6038, -10.2426,  -8.6266, -12.6863, -17.5956,  -8.7320, -10.4175, -12.3476, -11.6592, -13.3742,  -5.8772,  -8.9488,  -8.0741, -11.9231, -30.0000
193101, -23.7063,  22.1097,  15.7748,  16.6690,  19.4220,  13.0969,  10.9324,  11.7510,  13.8371,  15.2454,  10.8932,   8.5122,   8.7531,   7.7013,  18.5266,   6.8992,   6.7905,   4.3379,   7.6661,  11.4429,   4.1198,   4.4425,   7.3412,  16.3660,  34.6939
193102,  17.7692,  20.6779,  48.6609,  23.7205,  23.7275,   8.8192,  10.9232,  10.5409,  11.0134,  15.4724,  15.2209,  13.9313,  12.5295,  10.6297,  12.5007,  13.3799,  11.6600,   7.6703,   5.5512,  17.8260,  13.3573,   8.7571,   4.3280,   6.6379,  42.4242
193103,  -7.7882,   0.7521,  -1.7800,  -5.7519,  -8.7714,  -2.2779,  -9.3519,   4.1485,  -6.0062,   1.3334,  -1.6608,  -8.2578,  -4.7311,  -5.8466, -12.6798,  -7.2116,  -7.1294,  -8.9032, -10.2393,  -9.3430,  -4.1130,  -9.0666,  -9.9420, -11.5616, -19.6809
193104, -15.3550, -25.6785, -23.8191, -15.0683, -16.1929, -16.7635, -17.6126, -12.7213, -14.9952, -20.9237, -12.0957, -14.1470, -13.5815, -18.2145, -17.6793, -13.6575, -11.3088, -15.6181, -12.8379,  -5.5499,  -9.2571,  -8.4290, -10.9132, -10.4999, -23.8411
193105,  -8.5388,   1.2585, -15.8782, -11.8869, -15.9786,  -8.1287,  -8.3046,  -5.8782, -11.5349, -12.0153, -16.7741, -13.5059,  -9.6980, -13.1184, -17.4219, -10.3862, -12.7302, -16.6983, -25.7598, -29.4732, -12.1130, -11.7000, -18.5593, -18.8668, -22.6087
