"year;Mkt-RF;SMB;HML;RF;SMALL LoBM;ME1 BM2;SMALL HiBM;BIG LoBM;ME2 BM2;BIG HiBM"
"2008;-38,34;2,45;0,83;1,6;-40,586;-31,2921;-33,9622;-34,0809;-40,0863;-39,036"
"2009;28,26;9,35;-9,42;0,1;36,7428;33,4494;30,9084;30,5936;24,8554;17,5948"
"2010;17,37;14,29;-5,1;0,12;28,9142;30,068;26,9969;15,2672;20,8702;6,9751"
"2011;0,44;-5,79;-8,54;0,04;-6,168;-4,6385;-8,1817;4,2122;5,0152;-10,8594"
"2012;16,27;-1,32;9,85;0,06;14,8;17,3728;21,1711;15,2935;13,3936;28,6275"
"2013;35,2;7,63;2,65;0,02;44,586;42,2425;42,4344;33,0265;32,8741;40,4713"
"2014;11,71;-7,76;-1,53;0,02;4,8624;4,6159;3,8384;13,6253;11,3643;11,5993"
"2015;0,09;-3,99;-9,49;0,02;-2,9589;-3,0902;-9,7366;4,3338;-0,2873;-7,8721"
"2016;13,3;6,64;22,59;0,2;8,2513;23,4749;36,5492;9,0614;13,3436;25,9432"
"2017;21,51;-5,02;-13,51;0,8;25,3839;13,4969;9,3213;29,1757;15,8601;18,2122"
"2018;-6,93;-3,29;-9,8;1,81;-7,6278;-10,7554;-12,9023;-0,1631;-6,768;-14,495"
"2019;28,29;-6,13;-10,2;2,14;29,3909;26,0614;15,132;33,8574;27,405;27,7064"
"2020;23,67;12,96;-46,46;0,44;57,504;11,4078;3,911;36,2264;0,824;-3,1033"
"2021;23,56;-3,97;25,55;0,04;2,3878;25,6259;42,149;25,3552;20,0176;36,69"
